https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1609786800000,2021-01-04 19:00:00,XRP/USDT,0.23128000,0.23249000,0.22869000,0.23148000,31649453.00000000,7304043.91605800,13848
1609783200000,2021-01-04 18:00:00,XRP/USDT,0.23046000,0.23262000,0.22992000,0.23119000,32784118.50000000,7592069.38673000,14084
1609779600000,2021-01-04 17:00:00,XRP/USDT,0.23209000,0.23371000,0.22765000,0.23048000,44163194.20000000,10173400.61412300,18086
1609776000000,2021-01-04 16:00:00,XRP/USDT,0.23387000,0.24077000,0.22852000,0.23207000,77791751.30000000,18162551.83846600,33255
1609772400000,2021-01-04 15:00:00,XRP/USDT,0.22984000,0.23499000,0.22940000,0.23383000,52631676.80000000,12232259.79702400,22314
1609768800000,2021-01-04 14:00:00,XRP/USDT,0.22939000,0.23213000,0.22762000,0.22976000,46183567.60000000,10618287.88561600,19863
1609765200000,2021-01-04 13:00:00,XRP/USDT,0.22830000,0.22939000,0.22540000,0.22939000,43870011.90000000,9984699.27177800,17661
1609761600000,2021-01-04 12:00:00,XRP/USDT,0.23157000,0.23190000,0.22798000,0.22834000,50226559.60000000,11548339.49800300,20444
1609758000000,2021-01-04 11:00:00,XRP/USDT,0.22790000,0.23185000,0.22425000,0.23166000,47745293.00000000,10899270.58212400,21472
1609754400000,2021-01-04 10:00:00,XRP/USDT,0.23092000,0.23283000,0.21800000,0.22790000,98263670.50000000,22145905.89417900,42859
1609750800000,2021-01-04 09:00:00,XRP/USDT,0.23503000,0.23745000,0.22258000,0.23083000,98975629.80000000,22800770.86706300,46628
1609747200000,2021-01-04 08:00:00,XRP/USDT,0.24001000,0.24531000,0.22722000,0.23504000,104124192.50000000,24832059.46388300,48560
1609743600000,2021-01-04 07:00:00,XRP/USDT,0.25653000,0.25669000,0.23250000,0.23995000,162219131.10000000,39597619.75620100,68357
1609740000000,2021-01-04 06:00:00,XRP/USDT,0.23365000,0.26091000,0.23248000,0.25624000,153027415.70000000,37653101.95727200,56571
1609736400000,2021-01-04 05:00:00,XRP/USDT,0.23939000,0.23979000,0.23298000,0.23365000,66016627.00000000,15566311.52882000,26310
1609732800000,2021-01-04 04:00:00,XRP/USDT,0.23259000,0.23998000,0.23011000,0.23947000,66982981.70000000,15724856.07590500,27286
1609729200000,2021-01-04 03:00:00,XRP/USDT,0.23126000,0.23255000,0.23019000,0.23255000,45749058.80000000,10576671.15581700,18487
