https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1602154800000,2020-10-08 11:00:00,ADA/USDT,0.09178000,0.09184000,0.09137000,0.09154000,3188821.60000000,291984.44099400,695
1602151200000,2020-10-08 10:00:00,ADA/USDT,0.09154000,0.09239000,0.09135000,0.09176000,7568854.30000000,694947.31810500,1744
1602147600000,2020-10-08 09:00:00,ADA/USDT,0.09073000,0.09197000,0.09007000,0.09154000,11893686.30000000,1085692.47584400,2886
1602144000000,2020-10-08 08:00:00,ADA/USDT,0.09125000,0.09157000,0.09057000,0.09076000,8037958.70000000,732183.08608500,1860
1602140400000,2020-10-08 07:00:00,ADA/USDT,0.09182000,0.09182000,0.08975000,0.09125000,19047229.40000000,1730848.74393200,4495
1602136800000,2020-10-08 06:00:00,ADA/USDT,0.09178000,0.09228000,0.09153000,0.09183000,5490660.70000000,504739.04429900,1489
1602133200000,2020-10-08 05:00:00,ADA/USDT,0.09250000,0.09250000,0.09153000,0.09178000,14510788.30000000,1333646.78503500,3161
1602129600000,2020-10-08 04:00:00,ADA/USDT,0.09292000,0.09303000,0.09228000,0.09250000,8967059.50000000,831105.71531000,1895
1602126000000,2020-10-08 03:00:00,ADA/USDT,0.09296000,0.09367000,0.09278000,0.09293000,7285170.30000000,678917.50794500,1818
1602122400000,2020-10-08 02:00:00,ADA/USDT,0.09283000,0.09306000,0.09259000,0.09296000,3218798.20000000,298737.68493200,822
1602118800000,2020-10-08 01:00:00,ADA/USDT,0.09295000,0.09322000,0.09239000,0.09290000,6775119.30000000,628574.23795200,1366
1602115200000,2020-10-08 00:00:00,ADA/USDT,0.09372000,0.09374000,0.09271000,0.09297000,4696059.70000000,436984.34792100,1160
1602111600000,2020-10-07 23:00:00,ADA/USDT,0.09335000,0.09388000,0.09322000,0.09374000,3106764.80000000,290618.28522300,743
1602108000000,2020-10-07 22:00:00,ADA/USDT,0.09349000,0.09349000,0.09296000,0.09341000,3973804.70000000,370355.74907800,957
1602104400000,2020-10-07 21:00:00,ADA/USDT,0.09367000,0.09374000,0.09336000,0.09350000,3435990.20000000,321337.27288700,750
1602100800000,2020-10-07 20:00:00,ADA/USDT,0.09377000,0.09416000,0.09359000,0.09375000,3563626.30000000,334398.85649800,789
1602097200000,2020-10-07 19:00:00,ADA/USDT,0.09402000,0.09426000,0.09362000,0.09377000,5828294.60000000,547295.72280300,1153
1602093600000,2020-10-07 18:00:00,ADA/USDT,0.09399000,0.09449000,0.09387000,0.09399000,5015366.50000000,472078.46169700,1084
1602090000000,2020-10-07 17:00:00,ADA/USDT,0.09384000,0.09448000,0.09336000,0.09400000,6247325.50000000,586842.28915700,1331
1602086400000,2020-10-07 16:00:00,ADA/USDT,0.09338000,0.09417000,0.09281000,0.09384000,9651727.50000000,902272.91095700,2157
1602082800000,2020-10-07 15:00:00,ADA/USDT,0.09356000,0.09433000,0.09322000,0.09339000,8244596.80000000,772684.76383600,1900
1602079200000,2020-10-07 14:00:00,ADA/USDT,0.09356000,0.09369000,0.09276000,0.09354000,4576705.80000000,426578.13263100,1161
1602075600000,2020-10-07 13:00:00,ADA/USDT,0.09349000,0.09410000,0.09316000,0.09358000,5866934.10000000,549238.44784200,1335
1602072000000,2020-10-07 12:00:00,ADA/USDT,0.09267000,0.09378000,0.09267000,0.09343000,7732775.30000000,721681.42636400,1533
1602068400000,2020-10-07 11:00:00,ADA/USDT,0.09268000,0.09301000,0.09204000,0.09264000,3963897.60000000,366659.62085600,1063
1602064800000,2020-10-07 10:00:00,ADA/USDT,0.09237000,0.09278000,0.09169000,0.09262000,4364544.00000000,402763.41425700,1205
1602061200000,2020-10-07 09:00:00,ADA/USDT,0.09302000,0.09332000,0.09167000,0.09240000,9448364.50000000,873349.90260800,1941
1602057600000,2020-10-07 08:00:00,ADA/USDT,0.09312000,0.09348000,0.09272000,0.09300000,6172077.40000000,574746.61978300,1153
1602054000000,2020-10-07 07:00:00,ADA/USDT,0.09327000,0.09349000,0.09246000,0.09313000,4733078.30000000,439728.58721500,1179
1602050400000,2020-10-07 06:00:00,ADA/USDT,0.09226000,0.09349000,0.09211000,0.09319000,6493524.00000000,602526.19180400,1575
1602046800000,2020-10-07 05:00:00,ADA/USDT,0.09164000,0.09310000,0.09108000,0.09231000,11254950.50000000,1038583.65527600,3005
1602043200000,2020-10-07 04:00:00,ADA/USDT,0.09088000,0.09166000,0.09072000,0.09157000,6464178.70000000,589715.24822400,1778
