https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1598641200000,2020-08-28 19:00:00,EOS/USDT,3.11520000,3.13060000,3.10980000,3.12090000,181136.34000000,565296.23992000,1432
1598637600000,2020-08-28 18:00:00,EOS/USDT,3.11170000,3.12530000,3.10810000,3.11520000,255423.97000000,795482.86582400,1926
1598634000000,2020-08-28 17:00:00,EOS/USDT,3.13730000,3.14750000,3.09850000,3.11190000,1024463.66000000,3195820.69222600,6654
1598630400000,2020-08-28 16:00:00,EOS/USDT,3.16620000,3.17320000,3.13510000,3.13680000,706393.79000000,2226746.80477000,5217
1598626800000,2020-08-28 15:00:00,EOS/USDT,3.11820000,3.16940000,3.11820000,3.16530000,1459144.77000000,4587795.07683700,9289
1598623200000,2020-08-28 14:00:00,EOS/USDT,3.04130000,3.14000000,3.03210000,3.11830000,2000066.76000000,6215697.09591200,12496
1598619600000,2020-08-28 13:00:00,EOS/USDT,3.03320000,3.04720000,3.02430000,3.04100000,277149.74000000,841402.28100400,2019
1598616000000,2020-08-28 12:00:00,EOS/USDT,3.05790000,3.06270000,3.02690000,3.03350000,501178.38000000,1524898.58250700,3189
1598612400000,2020-08-28 11:00:00,EOS/USDT,3.04150000,3.06280000,3.03090000,3.05800000,390110.04000000,1188470.29259600,2756
1598608800000,2020-08-28 10:00:00,EOS/USDT,3.03910000,3.04540000,3.02270000,3.04010000,447681.33000000,1358262.15636000,2968
1598605200000,2020-08-28 09:00:00,EOS/USDT,3.00740000,3.04800000,3.00740000,3.03850000,454412.94000000,1379010.55670400,3378
1598601600000,2020-08-28 08:00:00,EOS/USDT,3.00810000,3.02440000,3.00010000,3.00750000,577173.15000000,1737071.20279900,3887
1598598000000,2020-08-28 07:00:00,EOS/USDT,3.03690000,3.04490000,3.00500000,3.00880000,322331.34000000,972672.85230600,3205
1598594400000,2020-08-28 06:00:00,EOS/USDT,3.02470000,3.04070000,3.01600000,3.03640000,515871.47000000,1562514.35702300,3201
1598590800000,2020-08-28 05:00:00,EOS/USDT,3.01750000,3.03100000,3.00190000,3.02460000,402131.26000000,1211867.78484200,2950
1598587200000,2020-08-28 04:00:00,EOS/USDT,3.01690000,3.02510000,3.00720000,3.01730000,423987.32000000,1278924.47473200,2492
1598583600000,2020-08-28 03:00:00,EOS/USDT,3.01560000,3.02490000,2.99740000,3.01660000,375955.02000000,1132069.57010700,2794
1598580000000,2020-08-28 02:00:00,EOS/USDT,3.01060000,3.04080000,3.00060000,3.01590000,1026182.72000000,3098383.54079900,6291
1598576400000,2020-08-28 01:00:00,EOS/USDT,2.98140000,3.01600000,2.96570000,3.01070000,819138.35000000,2450047.84528900,4716
1598572800000,2020-08-28 00:00:00,EOS/USDT,2.97900000,2.98430000,2.93790000,2.98070000,463668.98000000,1372824.37727400,3575
1598569200000,2020-08-27 23:00:00,EOS/USDT,2.93540000,2.98320000,2.93540000,2.97900000,442139.01000000,1312983.53935600,3018
1598565600000,2020-08-27 22:00:00,EOS/USDT,2.96330000,2.97060000,2.93470000,2.93530000,269427.39000000,794528.05739000,2257
1598562000000,2020-08-27 21:00:00,EOS/USDT,2.93740000,2.96420000,2.93430000,2.96330000,151118.20000000,446255.94382600,1360
1598558400000,2020-08-27 20:00:00,EOS/USDT,2.93700000,2.96280000,2.92580000,2.93750000,272275.58000000,802045.39727100,2193
1598554800000,2020-08-27 19:00:00,EOS/USDT,2.93950000,2.95180000,2.92990000,2.93750000,352074.93000000,1035712.02135000,2648
1598551200000,2020-08-27 18:00:00,EOS/USDT,2.90880000,2.95080000,2.90110000,2.93920000,693502.71000000,2026944.34814500,4968
1598547600000,2020-08-27 17:00:00,EOS/USDT,2.91910000,2.92530000,2.85550000,2.90790000,2806258.89000000,8131722.67169700,16637
1598544000000,2020-08-27 16:00:00,EOS/USDT,2.99600000,3.02920000,2.90000000,2.91840000,2192537.59000000,6474187.39406500,13655
1598540400000,2020-08-27 15:00:00,EOS/USDT,2.98920000,3.00830000,2.98250000,2.99640000,602267.59000000,1804406.29689500,4086
1598536800000,2020-08-27 14:00:00,EOS/USDT,3.05840000,3.06820000,2.95270000,2.98980000,2393562.43000000,7175511.75308800,15325
1598533200000,2020-08-27 13:00:00,EOS/USDT,3.04360000,3.12000000,3.03310000,3.05880000,1545880.62000000,4764018.47308700,11445
1598529600000,2020-08-27 12:00:00,EOS/USDT,3.03410000,3.05320000,2.99550000,3.04300000,1074892.13000000,3249472.39930000,7640
1598526000000,2020-08-27 11:00:00,EOS/USDT,3.07420000,3.07420000,3.02570000,3.03480000,1057733.05000000,3228892.45216000,6144
1598522400000,2020-08-27 10:00:00,EOS/USDT,3.10540000,3.11180000,3.06340000,3.07420000,511994.84000000,1576632.63459100,3878
1598518800000,2020-08-27 09:00:00,EOS/USDT,3.08490000,3.11050000,3.08390000,3.10470000,446702.83000000,1383355.48286700,2990
1598515200000,2020-08-27 08:00:00,EOS/USDT,3.10450000,3.10460000,3.08460000,3.08460000,218657.56000000,675878.75663100,1705
1598511600000,2020-08-27 07:00:00,EOS/USDT,3.09740000,3.11000000,3.08650000,3.10540000,317416.91000000,983333.18682900,2297
1598508000000,2020-08-27 06:00:00,EOS/USDT,3.07110000,3.10800000,3.06510000,3.09740000,469059.82000000,1448676.73548300,3234
1598504400000,2020-08-27 05:00:00,EOS/USDT,3.08000000,3.09600000,3.06200000,3.07060000,610931.75000000,1878308.49644000,3708
1598500800000,2020-08-27 04:00:00,EOS/USDT,3.09070000,3.10730000,3.07240000,3.07950000,378555.68000000,1169913.89939800,3246
1598497200000,2020-08-27 03:00:00,EOS/USDT,3.08540000,3.11010000,3.08350000,3.09020000,441245.02000000,1366401.53071300,3293
