https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1602874800000,2020-10-16 19:00:00,ETC/USDT,5.16700000,5.16700000,5.13980000,5.14020000,12826.38000000,66099.66397100,428
1602871200000,2020-10-16 18:00:00,ETC/USDT,5.14660000,5.17660000,5.14040000,5.16710000,25976.64000000,134161.98126400,861
1602867600000,2020-10-16 17:00:00,ETC/USDT,5.17500000,5.18240000,5.13290000,5.14600000,123293.40000000,636603.17295500,2186
1602864000000,2020-10-16 16:00:00,ETC/USDT,5.15410000,5.17890000,5.14540000,5.17770000,24860.92000000,128464.68806000,585
1602860400000,2020-10-16 15:00:00,ETC/USDT,5.16460000,5.17650000,5.12750000,5.15390000,30841.36000000,158803.91119800,831
1602856800000,2020-10-16 14:00:00,ETC/USDT,5.22710000,5.23660000,5.15710000,5.16820000,33785.83000000,175375.38017500,704
1602853200000,2020-10-16 13:00:00,ETC/USDT,5.21530000,5.23660000,5.20840000,5.22680000,26037.42000000,135990.23633300,726
1602849600000,2020-10-16 12:00:00,ETC/USDT,5.23430000,5.23430000,5.21310000,5.21500000,15492.45000000,80921.94838900,701
1602846000000,2020-10-16 11:00:00,ETC/USDT,5.21550000,5.24890000,5.19790000,5.23840000,21570.30000000,112510.31268800,594
1602842400000,2020-10-16 10:00:00,ETC/USDT,5.20000000,5.23680000,5.19620000,5.21710000,32411.23000000,169074.41427300,734
1602838800000,2020-10-16 09:00:00,ETC/USDT,5.23180000,5.23330000,5.18380000,5.19990000,92734.95000000,482484.22132200,2047
1602835200000,2020-10-16 08:00:00,ETC/USDT,5.26580000,5.26870000,5.22710000,5.23070000,74968.22000000,392831.93296300,1697
1602831600000,2020-10-16 07:00:00,ETC/USDT,5.25950000,5.28750000,5.24570000,5.26580000,14636.12000000,77017.91571800,402
1602828000000,2020-10-16 06:00:00,ETC/USDT,5.24830000,5.26460000,5.23240000,5.25780000,17425.94000000,91453.16715600,503
1602824400000,2020-10-16 05:00:00,ETC/USDT,5.25160000,5.28110000,5.24170000,5.24900000,26185.05000000,137700.09925500,809
1602820800000,2020-10-16 04:00:00,ETC/USDT,5.34640000,5.34640000,5.20000000,5.24940000,162570.44000000,851732.77870400,3157
1602817200000,2020-10-16 03:00:00,ETC/USDT,5.34020000,5.34820000,5.32980000,5.34810000,19292.22000000,102985.66145000,702
1602813600000,2020-10-16 02:00:00,ETC/USDT,5.34880000,5.35030000,5.33120000,5.34030000,58268.66000000,311105.97701600,2234
1602810000000,2020-10-16 01:00:00,ETC/USDT,5.31350000,5.36330000,5.31350000,5.34830000,45821.78000000,244948.56404100,1467
1602806400000,2020-10-16 00:00:00,ETC/USDT,5.33050000,5.33050000,5.30780000,5.31550000,22427.72000000,119296.40019800,746
1602802800000,2020-10-15 23:00:00,ETC/USDT,5.31030000,5.33500000,5.30740000,5.33210000,10783.82000000,57410.29574900,343
1602799200000,2020-10-15 22:00:00,ETC/USDT,5.31010000,5.32990000,5.30790000,5.30830000,6792.49000000,36125.74823900,228
1602795600000,2020-10-15 21:00:00,ETC/USDT,5.33200000,5.34260000,5.30300000,5.31220000,25222.84000000,134227.10496100,493
1602792000000,2020-10-15 20:00:00,ETC/USDT,5.32590000,5.35350000,5.32590000,5.33220000,16810.06000000,89708.85071900,453
1602788400000,2020-10-15 19:00:00,ETC/USDT,5.31430000,5.33780000,5.31320000,5.32400000,10652.73000000,56750.03497400,362
1602784800000,2020-10-15 18:00:00,ETC/USDT,5.35560000,5.35880000,5.31400000,5.31540000,20510.82000000,109320.95009100,552
1602781200000,2020-10-15 17:00:00,ETC/USDT,5.32060000,5.36140000,5.31930000,5.35600000,16992.27000000,90865.25807600,457
1602777600000,2020-10-15 16:00:00,ETC/USDT,5.33200000,5.36010000,5.31410000,5.31970000,27331.43000000,145726.52944900,843
1602774000000,2020-10-15 15:00:00,ETC/USDT,5.34560000,5.34830000,5.31900000,5.33480000,15443.31000000,82417.65173500,522
1602770400000,2020-10-15 14:00:00,ETC/USDT,5.36060000,5.36550000,5.33030000,5.34640000,13138.18000000,70291.85069300,493
1602766800000,2020-10-15 13:00:00,ETC/USDT,5.35590000,5.37170000,5.32910000,5.36140000,21567.53000000,115396.71143800,529
1602763200000,2020-10-15 12:00:00,ETC/USDT,5.30910000,5.36620000,5.29880000,5.35580000,48884.36000000,260763.90291900,1610
1602759600000,2020-10-15 11:00:00,ETC/USDT,5.32440000,5.33200000,5.30660000,5.31040000,37957.38000000,201992.13307100,1365
1602756000000,2020-10-15 10:00:00,ETC/USDT,5.33320000,5.35270000,5.29520000,5.32420000,43539.03000000,231504.89061400,1380
1602752400000,2020-10-15 09:00:00,ETC/USDT,5.35120000,5.35120000,5.30540000,5.33410000,56552.58000000,301235.63750700,1723
1602748800000,2020-10-15 08:00:00,ETC/USDT,5.41000000,5.42010000,5.34130000,5.35200000,71971.85000000,386314.43286300,1651
1602745200000,2020-10-15 07:00:00,ETC/USDT,5.41010000,5.41950000,5.40100000,5.41000000,16872.16000000,91235.93644400,761
1602741600000,2020-10-15 06:00:00,ETC/USDT,5.41550000,5.42310000,5.40580000,5.40980000,29342.35000000,158868.05869600,913
1602738000000,2020-10-15 05:00:00,ETC/USDT,5.39470000,5.41930000,5.38170000,5.41570000,46536.92000000,251296.60244700,1209
1602734400000,2020-10-15 04:00:00,ETC/USDT,5.36620000,5.39940000,5.34710000,5.39470000,24960.88000000,134268.90627900,628
1602730800000,2020-10-15 03:00:00,ETC/USDT,5.34800000,5.37080000,5.34400000,5.36770000,9050.72000000,48525.08808300,307
1602727200000,2020-10-15 02:00:00,ETC/USDT,5.36020000,5.36990000,5.34350000,5.34730000,10175.58000000,54512.69063900,391
1602723600000,2020-10-15 01:00:00,ETC/USDT,5.36050000,5.37650000,5.34970000,5.35980000,11995.45000000,64307.42155100,432
1602720000000,2020-10-15 00:00:00,ETC/USDT,5.38220000,5.38450000,5.35630000,5.36000000,17570.72000000,94408.89510800,766
1602716400000,2020-10-14 23:00:00,ETC/USDT,5.37520000,5.40100000,5.36980000,5.38120000,17812.96000000,95938.96453200,815
1602712800000,2020-10-14 22:00:00,ETC/USDT,5.35670000,5.38330000,5.35500000,5.37850000,21070.57000000,113236.57557400,967
1602709200000,2020-10-14 21:00:00,ETC/USDT,5.35650000,5.36880000,5.34490000,5.35480000,14020.48000000,75117.91663800,828
1602705600000,2020-10-14 20:00:00,ETC/USDT,5.33440000,5.35720000,5.32850000,5.35720000,18973.79000000,101339.90666500,722
1602702000000,2020-10-14 19:00:00,ETC/USDT,5.33520000,5.34690000,5.32650000,5.33530000,22061.19000000,117764.97515200,804
1602698400000,2020-10-14 18:00:00,ETC/USDT,5.33630000,5.34030000,5.31300000,5.33500000,26702.69000000,142266.49635200,857
1602694800000,2020-10-14 17:00:00,ETC/USDT,5.35330000,5.35330000,5.31830000,5.33740000,27905.07000000,148834.10590000,954
1602691200000,2020-10-14 16:00:00,ETC/USDT,5.33610000,5.38440000,5.33120000,5.35540000,42680.84000000,228961.53542600,1130
1602687600000,2020-10-14 15:00:00,ETC/USDT,5.38620000,5.39950000,5.32490000,5.34060000,56189.76000000,301452.02324600,1586
1602684000000,2020-10-14 14:00:00,ETC/USDT,5.43630000,5.43810000,5.37250000,5.38860000,60512.91000000,326975.54816500,1275
1602680400000,2020-10-14 13:00:00,ETC/USDT,5.41660000,5.44570000,5.40740000,5.43240000,23269.22000000,126318.07902100,649
1602676800000,2020-10-14 12:00:00,ETC/USDT,5.39430000,5.43290000,5.38350000,5.41250000,29985.95000000,162417.79888000,891
1602673200000,2020-10-14 11:00:00,ETC/USDT,5.37120000,5.40600000,5.37030000,5.39430000,15271.13000000,82337.21415400,411
1602669600000,2020-10-14 10:00:00,ETC/USDT,5.38270000,5.39010000,5.36050000,5.37430000,24217.82000000,130134.66940300,740
1602666000000,2020-10-14 09:00:00,ETC/USDT,5.41030000,5.41830000,5.37290000,5.37590000,15764.12000000,85083.83352300,473
1602662400000,2020-10-14 08:00:00,ETC/USDT,5.41070000,5.42660000,5.40700000,5.41330000,18225.21000000,98735.85457300,506
1602658800000,2020-10-14 07:00:00,ETC/USDT,5.41390000,5.41730000,5.38840000,5.41230000,19906.22000000,107552.30877400,742
1602655200000,2020-10-14 06:00:00,ETC/USDT,5.39580000,5.41860000,5.37740000,5.41300000,24153.17000000,130282.92643400,829
1602651600000,2020-10-14 05:00:00,ETC/USDT,5.35690000,5.40000000,5.34340000,5.39760000,43596.76000000,234068.56137900,1357
1602648000000,2020-10-14 04:00:00,ETC/USDT,5.34090000,5.36800000,5.32850000,5.35550000,33128.72000000,177115.17308100,1341
1602644400000,2020-10-14 03:00:00,ETC/USDT,5.34700000,5.36180000,5.33750000,5.34090000,27263.33000000,145871.33331000,1199
1602640800000,2020-10-14 02:00:00,ETC/USDT,5.37670000,5.37830000,5.33710000,5.34670000,30513.01000000,163283.64874300,1030
1602637200000,2020-10-14 01:00:00,ETC/USDT,5.38710000,5.38970000,5.35880000,5.37610000,19976.12000000,107411.93509800,685
1602633600000,2020-10-14 00:00:00,ETC/USDT,5.35000000,5.39000000,5.33830000,5.38540000,39090.75000000,209873.87110200,1047
1602630000000,2020-10-13 23:00:00,ETC/USDT,5.37850000,5.39490000,5.33870000,5.35020000,46150.24000000,247829.22367100,1287
1602626400000,2020-10-13 22:00:00,ETC/USDT,5.33360000,5.40990000,5.32330000,5.38210000,146367.04000000,786105.53876800,4217
1602622800000,2020-10-13 21:00:00,ETC/USDT,5.31980000,5.33660000,5.31250000,5.33240000,11089.90000000,59064.49854300,363
1602619200000,2020-10-13 20:00:00,ETC/USDT,5.30120000,5.32100000,5.29880000,5.32000000,18621.50000000,98873.53568700,605
1602615600000,2020-10-13 19:00:00,ETC/USDT,5.30550000,5.34060000,5.29830000,5.30070000,23828.52000000,126681.30265200,1088
1602612000000,2020-10-13 18:00:00,ETC/USDT,5.31280000,5.32780000,5.29410000,5.30550000,49930.50000000,265008.67602000,1596
1602608400000,2020-10-13 17:00:00,ETC/USDT,5.36440000,5.36670000,5.31040000,5.31220000,21293.71000000,113769.79005100,528
1602604800000,2020-10-13 16:00:00,ETC/USDT,5.36550000,5.37110000,5.33940000,5.36530000,13987.53000000,74938.50436000,493
1602601200000,2020-10-13 15:00:00,ETC/USDT,5.37460000,5.39110000,5.36010000,5.36640000,49687.31000000,267066.18527600,932
1602597600000,2020-10-13 14:00:00,ETC/USDT,5.35290000,5.37660000,5.30000000,5.37360000,104791.13000000,558264.75849700,2754
1602594000000,2020-10-13 13:00:00,ETC/USDT,5.36980000,5.37640000,5.33620000,5.35170000,40825.28000000,218721.82489300,1293
1602590400000,2020-10-13 12:00:00,ETC/USDT,5.41870000,5.42450000,5.36890000,5.36980000,21762.39000000,117469.02351400,854
1602586800000,2020-10-13 11:00:00,ETC/USDT,5.43360000,5.44170000,5.41070000,5.41840000,27713.08000000,150288.06755700,951
1602583200000,2020-10-13 10:00:00,ETC/USDT,5.38330000,5.46430000,5.35180000,5.43470000,168850.78000000,914764.52705800,4470
1602579600000,2020-10-13 09:00:00,ETC/USDT,5.41830000,5.41830000,5.38080000,5.38370000,26718.17000000,144094.65441600,951
1602576000000,2020-10-13 08:00:00,ETC/USDT,5.40000000,5.42980000,5.38370000,5.41980000,25431.61000000,137483.83733100,828
1602572400000,2020-10-13 07:00:00,ETC/USDT,5.43000000,5.43000000,5.38820000,5.40110000,25471.23000000,137689.28498600,892
1602568800000,2020-10-13 06:00:00,ETC/USDT,5.50000000,5.50060000,5.36500000,5.43260000,136365.03000000,741340.43851500,2570
1602565200000,2020-10-13 05:00:00,ETC/USDT,5.47200000,5.50670000,5.47200000,5.50050000,52927.30000000,290625.27750000,1275
1602561600000,2020-10-13 04:00:00,ETC/USDT,5.44100000,5.47630000,5.43630000,5.47190000,39239.23000000,214273.81986600,788
1602558000000,2020-10-13 03:00:00,ETC/USDT,5.45940000,5.45940000,5.42480000,5.44100000,42365.99000000,230572.28937800,1256
1602554400000,2020-10-13 02:00:00,ETC/USDT,5.46170000,5.47670000,5.44780000,5.45930000,106422.39000000,581303.63780500,2438
1602550800000,2020-10-13 01:00:00,ETC/USDT,5.44960000,5.46200000,5.44000000,5.46180000,35617.40000000,194139.22552200,827
1602547200000,2020-10-13 00:00:00,ETC/USDT,5.44760000,5.46350000,5.42140000,5.44990000,63324.54000000,344875.69993800,1084
1602543600000,2020-10-12 23:00:00,ETC/USDT,5.47100000,5.47100000,5.42000000,5.44830000,60457.94000000,329112.35453700,1276
1602540000000,2020-10-12 22:00:00,ETC/USDT,5.51330000,5.51380000,5.46400000,5.47010000,40338.78000000,221463.89916200,655
1602536400000,2020-10-12 21:00:00,ETC/USDT,5.48070000,5.52000000,5.47800000,5.51390000,54525.09000000,300521.61001100,1149
1602532800000,2020-10-12 20:00:00,ETC/USDT,5.50750000,5.51120000,5.47840000,5.48110000,26345.23000000,144754.90288400,533
1602529200000,2020-10-12 19:00:00,ETC/USDT,5.49000000,5.51740000,5.48400000,5.50720000,85568.28000000,470512.45528500,1245
1602525600000,2020-10-12 18:00:00,ETC/USDT,5.50580000,5.51030000,5.48900000,5.48950000,16009.01000000,88004.23144200,387
1602522000000,2020-10-12 17:00:00,ETC/USDT,5.50820000,5.52640000,5.49400000,5.50460000,31291.99000000,172415.47290000,739
1602518400000,2020-10-12 16:00:00,ETC/USDT,5.52020000,5.53090000,5.50090000,5.50830000,66939.96000000,369322.26676100,1383
1602514800000,2020-10-12 15:00:00,ETC/USDT,5.49530000,5.52430000,5.49130000,5.51830000,71684.28000000,394809.97615500,1548
1602511200000,2020-10-12 14:00:00,ETC/USDT,5.49520000,5.51670000,5.48720000,5.49530000,37363.31000000,205598.72252100,1558
1602507600000,2020-10-12 13:00:00,ETC/USDT,5.44360000,5.52000000,5.43330000,5.49520000,111389.64000000,610479.81370900,2348
1602504000000,2020-10-12 12:00:00,ETC/USDT,5.40520000,5.45090000,5.40520000,5.44480000,31113.90000000,168922.03378900,949
1602500400000,2020-10-12 11:00:00,ETC/USDT,5.40650000,5.41710000,5.38450000,5.40560000,78562.20000000,424440.66502400,1618
1602496800000,2020-10-12 10:00:00,ETC/USDT,5.44210000,5.46810000,5.38600000,5.40640000,116865.09000000,633637.73696500,2001
1602493200000,2020-10-12 09:00:00,ETC/USDT,5.42420000,5.49630000,5.40100000,5.44140000,222801.22000000,1214252.49775900,3798
1602489600000,2020-10-12 08:00:00,ETC/USDT,5.44400000,5.48340000,5.40140000,5.42590000,167522.90000000,912001.13475000,2963
1602486000000,2020-10-12 07:00:00,ETC/USDT,5.40120000,5.44690000,5.39400000,5.44200000,45328.38000000,245744.38767500,916
1602482400000,2020-10-12 06:00:00,ETC/USDT,5.45560000,5.45560000,5.40000000,5.40010000,35524.13000000,192479.68898500,850
